title,company,location,salary,description,requirements,contact,archetype,label,source
"Accounts Assistant Job Openings in Mumbai | ₹25,000/month Salary | Placement Guarantee",Excel Career Solutions,"Mumbai, Maharashtra","₹25,000 - ₹40,000 per month","We are hiring Freshers and experienced candidates for Accounts Assistant position in top MNCs. Incentives unlimited, highest package guaranteed. Join our Placement Consultant today and get placed in top companies. Our consultancy charges are ₹5,000 only, which is a small price to pay for a guaranteed job.","10th, 12th, B.Com, M.Com, CA, CMA, Freshers and experienced candidates are eligible. Good communication skills and basic computer knowledge required.",placementfee@gmail.com or 9812345678,placement_consultancy_fee,1,synthetic_indian
"Job Opening for HR Executive in MNC - ₹30,000/month Salary!",Excelent Career Solutions,Kanpur,"₹30,000/month","We are a reputed organization with MNC ties and we are hiring for an HR Executive position. If you are a fresh graduate looking for a stable job, this is the perfect opportunity. We guarantee a job with our partner company and provide all necessary documentation. Please note that there is a registration fee of ₹1,500 and a processing charge of ₹2,000, but these are one-time payments and we assure you of a smooth placement process.","We are looking for a candidate with a BBA/BBM degree and excellent communication skills. Previous experience is not necessary, but a willingness to learn is a must.",WhatsApp: 9876543210,placement_consultancy_fee,1,synthetic_indian
"Data Entry Operator Wanted! Urgent Requirement | ₹25,000/month",Sunny Careers & Consulting Services,Nagpur,"₹25,000 - ₹35,000/month","We are seeking a highly motivated and detail-oriented Data Entry Operator to join our team. The ideal candidate will have excellent typing skills and be able to work in a fast-paced environment. Enrollment fee for training is ₹5,000, which will be reimbursed after 1st month of employment. Apply now and take the first step towards a successful career.","Bachelor's degree in any field, Basic computer skills, Typing speed of 40 wpm",+91 90000 12345 (WhatsApp),placement_consultancy_fee,1,synthetic_indian
"Tele-Caller Required - ₹30,000/Month - No Experience Required!",CareerMax Placement Services,"Ranchi, Jharkhand","₹30,000 - ₹40,000 per month","We are hiring freshers as Tele-Caller in our esteemed organization. No experience is required, any graduate can apply. We are offering a attractive salary package of ₹30,000 - ₹40,000 per month. Interested candidates, please contact us with your updated resume. We require a small registration fee of ₹5,000 to process your application.","Any graduate can apply, no experience required. Good communication skills is a must.",careermaxplacements@gmail.com,placement_consultancy_fee,1,synthetic_indian
Back Office Executive - Unlimited Earning Potential!,Prosperity Placement Services,Varanasi,"₹25,000–₹1,50,000 per month","We are a leading placement consultancy firm offering exciting opportunities for freshers and experienced professionals. As a Back Office Executive, you will be responsible for managing client relationships, processing documents, and providing exceptional customer service. Our company offers unlimited earning potential, with top performers earning up to ₹1,50,000 per month! To get started, please pay a nominal registration fee of ₹2,000 and a processing charge of ₹1,500. Once you've paid these fees, our team will guide you through a comprehensive training program to ensure your success. Don't miss out on this incredible opportunity!",Freshers/Experienced professionals with excellent communication skills and a positive attitude. Knowledge of MS Office and basic computer skills is a must.,hirenow123@gmail.com,placement_consultancy_fee,1,synthetic_indian
"HR Executive Wanted | ₹25,000/month Salary | Apply Now!",Sapna HR Solutions,Jaipur,"₹25,000 - ₹35,000 per month","We are a leading recruitment agency in Jaipur & Delhi NCR. We offer guaranteed job placement for our candidates. If you are looking for a job as HR Executive, apply now. Our training fee is ₹5,000 only & refundable if you don't get placed. Don't miss this opportunity to get your dream job.","10+2, Any Graduation",Apply through our website or visit our office at Jaipur.,placement_consultancy_fee,1,synthetic_indian
"Tele-caller @ ₹25,000/month - No Experience Needed!",Career Pro Consultancy,Indore,"₹25,000/month","Are you a fresher or unemployed graduate looking for a job? Do you want a secure future? We are here to help you! Our company offers 100% placement guarantee for tele-callers. Don't worry about your skills, any graduate can apply. We just need a person who is willing to learn and work hard.","No experience needed, just a graduation degree from any stream. We will provide training on the job.","Career Pro Consultancy, Indore",placement_consultancy_fee,1,synthetic_indian
Job Opportunity for Freshers - Tele-caller Position,Dream Job Placement Pvt. Ltd.,Ludhiana,"₹25,000 - ₹40,000 per month","We are a reputed organization, leading company in the field of customer service, seeking for talented and ambitious individuals to join our team as Tele-callers. The selected candidates will be responsible for handling customer queries, resolving their issues, and providing them with the required information. The position requires excellent communication skills, a positive attitude, and the ability to work in a team environment. Interested candidates can send their resume and a cover letter to [dreamjobplacements@gmail.com](mailto:dreamjobplacements@gmail.com).","B.A/B.Sc/B.Com Graduates with good communication skills, a positive attitude, and the ability to work in a team environment.",dreamjobplacements@gmail.com,placement_consultancy_fee,1,synthetic_indian
"Back Office Executive | ₹25,000/month | No Experience Required!",Dream Placement Solutions,Bhopal,"₹25,000/month","Join our team of professionals as a Back Office Executive and earn ₹25,000/month! No experience required, 12th pass can apply. We guarantee a job after our training program. Our consultancy charges are ₹5,000 (refundable security deposit) and ₹2,000 (joining fee). Limited seats available, register now!","12th pass, good communication skills, basic computer knowledge",Call/WhatsApp +91 98765 43210 or Email [dreamplacement@gmail.com](mailto:dreamplacement@gmail.com),placement_consultancy_fee,1,synthetic_indian
"Tele-caller Wanted | ₹30,000/month | No Experience Required",CareerPro Solutions Pvt. Ltd.,Nagpur,"₹28,000-₹38,000/month","We are looking for a bright and ambitious Tele-caller to join our team. No prior experience is required, but a passion for sales and excellent communication skills are a must. Our consultancy charges are ₹5,000 to cover the entire recruitment process. This includes documentation charges and security deposit. You will be trained to handle customer calls and meet sales targets.","No specific skills are required, but a graduate degree is necessary. We are looking for freshers who are eager to learn and grow with our company.","CareerPro Solutions Pvt. Ltd., Nagpur",placement_consultancy_fee,1,synthetic_indian
"HR Executive Wanted | Placement Guaranteed | ₹30,000/month | Apply Now!",Sapna Career Solutions,Jaipur,"₹30,000/month","We are a leading recruitment agency with proven track record of placing candidates in top MNCs. We are looking for a diligent and result-oriented HR Executive to join our team. The successful candidate will be responsible for managing the entire recruitment process, from job posting to onboarding.

Guaranteed job placement for our clients in top companies.

Documentation charges of ₹1,500 will be applicable for issuance of offer letter and other documents.

Refundable training fee of ₹3,000 will be charged for enhancing your skills and making you industry-ready.

Application fee of ₹500 will be deducted from your first salary after placement.

If you are looking for a challenging role with guaranteed job placement, apply now!","B.Com/M.Com, 0-2 years of experience in HR/Recruitment, excellent communication skills, proficiency in MS Office","Call/WhatsApp: +91 98765 43210, Email: [sapnacareer@gmail.com](mailto:sapnacareer@gmail.com)",placement_consultancy_fee,1,synthetic_indian
"Tele-caller Job Openings for Fresher! Earn ₹25,000/month",CareerMax Placement Services Pvt. Ltd.,"Ranchi, Jharkhand","₹20,000-₹40,000/month","We are hiring Tele-callers for our esteemed clients. No experience required, 12th pass can apply. Work from home opportunity. ₹15,000-₹45,000/month guaranteed. 100% placement assurance.","Good communication skills, Basic computer knowledge, Ability to work in a team",+91-911-111-1111 (WhatsApp),placement_consultancy_fee,1,synthetic_indian
